X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	2	0	0	0	1	2	2	0	1	2.0	0.1586034110653347
2	2	0	1	2	0	2	2	1	2	0	1.0	0.1586034110653347
2	0	2	0	2	2	1	2	1	0	0	1.0	0.17733479258530227
0	2	1	1	1	1	0	2	0	1	1	2.0	0.17733479258530227
0	2	0	0	2	1	2	0	0	2	0	1.0	0.17733479258530227
2	0	0	1	1	1	1	0	1	0	0	1.0	0.17733479258530227
2	1	2	0	2	2	0	2	2	2	1	2.0	0.19541350650795075
2	2	2	1	2	1	0	2	1	2	1	3.0	0.22727593401359258
1	2	2	0	2	0	0	0	2	2	0	1.0	0.2537219836908886
2	1	0	0	2	1	2	2	2	1	0	1.0	0.2537219836908886
1	0	1	2	1	2	0	1	0	2	1	3.0	0.2537219836908886
1	0	0	2	0	2	0	0	1	0	1	2.0	0.26298440407640133
1	1	0	0	2	0	2	2	1	1	1	2.0	0.2691607232007641
0	2	1	2	0	2	1	1	2	1	1	3.0	0.28319569268931777
0	0	1	0	2	0	0	1	1	1	0	1.0	0.3065878039393376
2	1	1	2	0	1	0	1	1	1	1	3.0	0.3065878039393376
0	1	2	1	1	0	1	2	1	1	0	1.0	0.3065878039393376
0	1	0	0	1	0	1	1	0	1	0	1.0	0.32094038765595956
0	2	1	0	1	2	0	1	0	0	1	3.0	0.32094038765595956
2	0	0	2	0	0	2	2	1	1	0	1.0	0.32094038765595956
1	0	1	1	2	0	1	0	0	0	0	1.0	0.32094038765595956
1	1	1	0	2	1	1	1	1	2	1	2.0	0.32094038765595956
2	1	0	0	1	0	1	2	0	0	0	1.0	0.32094038765595956
0	0	0	2	1	2	2	1	0	0	0	1.0	0.32094038765595956
2	2	1	2	0	0	1	1	1	2	1	3.0	0.32094038765595956
2	0	1	1	2	0	1	0	0	1	0	1.0	0.32094038765595956
2	1	0	1	2	2	0	1	0	2	0	1.0	0.32094038765595956
2	0	2	0	2	1	2	0	0	1	1	2.0	0.3273986496827125
0	0	1	1	0	0	1	1	2	1	1	2.0	0.33285692117302357
0	2	2	1	1	1	1	2	2	0	0	1.0	0.33285692117302357
2	1	1	0	0	1	1	2	0	1	0	1.0	0.3508220911999197
1	1	1	0	2	2	2	2	1	2	1	2.0	0.3508220911999197
0	0	2	1	2	0	1	0	2	1	1	2.0	0.3508220911999197
0	2	2	2	2	0	1	0	0	0	0	1.0	0.3508220911999197
0	1	0	2	0	1	2	1	1	1	0	1.0	0.3508220911999197
2	2	2	2	0	1	2	2	2	1	0	1.0	0.3508220911999197
2	0	2	1	2	2	2	1	0	0	1	3.0	0.3508220911999197
2	1	0	2	2	2	0	2	2	2	0	1.0	0.3508220911999197
2	2	2	0	1	2	1	1	2	0	0	1.0	0.3508220911999197
1	2	1	1	1	0	2	0	2	2	1	3.0	0.3508220911999197
2	1	1	2	2	1	0	1	0	0	1	2.0	0.3508220911999197
